text|label|category|level
방금 그 스킬 타이밍 진짜 좋았다|0|정상|0
탑 라인 좀 봐줄 수 있어?|0|정상|0
와드 좀 박아줘 시야 안 보임|0|정상|0
분당 골드 관리 잘하네 배워야겠다|0|정상|0
오늘따라 핑 튀네 렉 걸리나|0|정상|0
이 챔프 상대하기 진짜 어렵네|0|정상|0
저격밴 좀 하지 말아줘|0|정상|0
다음 판엔 정글 갈게|0|정상|0
너 폼 미쳤다 캐리 지린다|0|정상|0
ㅈㅈ 이번 판은 진짜 잘했다|0|정상|0
아 진짜 짜증나네 이번 판|0|정상|0
ㅆㅂ 이번 판 왜 이러냐|0|정상|0
개쉑 뭐하냐 라인 밀리잖아|1|욕설강도|2
니가 젤 못하네 나가라 그냥|1|욕설강도|2
병신같은 정글 뭐하냐 갱도 안 오고|1|욕설강도|2
씹새끼야 계속 그딴식으로 할거야|1|욕설강도|3
장애인마냥 플레이하네 진짜|1|욕설강도|3
급식충 주제에 뭘 안다고 떠드냐|1|욕설강도|3
니미럴 이번 판도 트롤이네|1|욕설강도|3
저런 저열한 표현 진짜 불쾌하다|0|정상|0
그 스킨 좀 야하게 생겼다 ㅋㅋ|0|정상|0
몸매 좋다 어쩌구 왜 그런 말을해|1|음란성발언|2
자꾸 이상한 소리 좀 그만해라|0|정상|0
씨발련 몸이나 팔러 다니지 왜 겜하냐|1|음란성발언|2
그런 사진 자꾸 보내지 마세요|0|정상|0
느금마 탑 좀 그만 던져라|1|패드립|2
니 애미 게임 그따위로 하라고 가르쳤냐|1|패드립|2
느그 가족들 다 게임 저따구로 하냐|1|패드립|3
니 애비 애미 다 그모양이라 니가 그모양이지|1|패드립|3
느그 죽은 할매도 이거보다는 잘하겠다|1|패드립|4
가정교육을 어떻게 받았길래 그러냐|1|패드립|1
부모님이 그렇게 가르쳤어?|1|패드립|1
아 진짜 열받네 확 다 갈아버릴까|0|정상|0
현피 뜨자 진짜|1|폭력성|2
너 아이디 따서 신상 털어버린다|1|폭력성|2
칼로 찔러버리고 싶다 진짜|1|폭력성|3
너희 집 앞에서 기다린다 각오해|1|폭력성|3
죽여버릴 거야 진짜 두고봐|1|폭력성|3
니네 집 주소 알아내서 찾아간다|1|폭력성|4
