text|label|category|level
강민기 손가락 하나 없냐? 왤케 못함?|1|욕설강도|2
방금 그 스킬 타이밍 진짜 좋았다|0|정상|0
탑 라인 좀 봐줄 수 있어?|0|정상|0
와드 좀 박아줘 시야 안 보임|0|정상|0
분당 골드 관리 잘하네 배워야겠다|0|정상|0
오늘따라 핑 튀네 렉 걸리나|0|정상|0
이 챔프 상대하기 진짜 어렵네|0|정상|0
저격밴 좀 하지 말아줘|0|정상|0
다음 판엔 정글 갈게|0|정상|0
너 폼 미쳤다 캐리 지린다|0|정상|0
ㅈㅈ 이번 판은 진짜 잘했다|0|정상|0
이 조합 진짜 상성 안좋다|0|정상|0
우리 팀 딜이 너무 약한듯|0|정상|0
미드 상대 스킬셋 뭐임 처음보네|0|정상|0
다음엔 서폿 해볼게|0|정상|0
오브젝트 타이밍 잘 맞춰야해|0|정상|0
한타 위치 좋았다 나이스|0|정상|0
이번판 CS 관리 좀 신경써야겠다|0|정상|0
교대 좀 해줘 라인 밀렸어|0|정상|0
궁 쿨타임 확인하고 들어가자|0|정상|0
시야 장악이 진짜 중요한듯|0|정상|0
저 챔프 카운터가 뭐가 있지|0|정상|0
오늘 매칭 왜케 빡세냐|0|정상|0
한판만 더 하고 자야지|0|정상|0
이 스킨 진짜 예쁘다|0|정상|0
연습좀 더 해야될듯 나|0|정상|0
솔킬 났다 좋아|0|정상|0
백도어 조심해야해|0|정상|0
포탑 밀지말고 모이자|0|정상|0
저 사람 핑 좋다 서버가 어디임|0|정상|0
팀운 진짜 안좋네 오늘|0|정상|0
다음판은 다른 포지션 해볼까|0|정상|0
의사소통이 중요한 게임이네|0|정상|0
연승 중이라 기분 좋다|0|정상|0
이 메타 진짜 어렵다|0|정상|0
드래곤 스틸 당했다 아깝다|0|정상|0
바텀 라인 스왑 할까|0|정상|0
궁 합 타이밍 놓쳤다 미안|0|정상|0
조합 밴픽 잘했다 우리팀|0|정상|0
운영 좋았다 그 타이밍|0|정상|0
다들 수고했어 이번판|0|정상|0
아 진짜 짜증나네|0|정상|0
니가 젤 못하네 나가라 그냥|0|정상|0
개새끼 뭐하냐 라인 밀리잖아|1|욕설강도|2
병신같은 정글 뭐하냐 갱도 안 오고|1|욕설강도|2
씹새끼야 계속 그딴식으로 할거야|1|욕설강도|2
개쉑기야 진짜 트롤 그만해라|1|욕설강도|2
개걸레같은 플레이 좀 그만해|1|욕설강도|2
니미럴 이번 판도 트롤이네|1|욕설강도|2
개잡년 취급하지 말고 게임이나 해|1|욕설강도|2
이 팀 전체가 다 병신들이야|1|욕설강도|2
개시키 뭐하냐 진짜 답답하네|1|욕설강도|1
개자식아 그만 좀 던져라|1|욕설강도|1
걸레같은 판단력이네 진짜|1|욕설강도|2
개쓰레기 같은 플레이 좀 그만|1|욕설강도|1
등신아 그타이밍에 왜 들어가|1|욕설강도|2
개좆같이 하네 진짜 팀운|1|욕설강도|2
씨발넘 진짜 정신 안차리네|1|욕설강도|2
또라이같이 플레이하네 진짜|1|욕설강도|1
미친놈 진짜 답도 없네 이팀|1|욕설강도|1
상담원한테까지 이런식으로 욕하는거 실화냐|0|정상|0
저런 저열한 표현 진짜 불쾌하다|0|정상|0
그 스킨 좀 야하게 생겼다 ㅋㅋ|1|음란성발언|1
자꾸 이상한 소리 좀 그만해라|0|정상|0
몸매 좋다 어쩌구 왜 그런 말을해|0|정상|0
목소리 듣고 이상한 소리 하지마라|0|정상|0
가슴 얘기 좀 그만하라고 몇번을 말해|0|정상|0
개보지 같은 소리 좀 그만해라|1|음란성발언|2
그런 사진 자꾸 보내지 마세요|0|정상|0
씨발련 몸이나 팔러 다니지 왜 겜하냐|1|음란성발언|3
야한 얘기 그만하라고 몇번을 말해|0|정상|0
보지녀라는 표현 쓰지 마세요 불쾌해요|1|음란성발언|2
자꾸 성희롱성 발언 하지 좀 마|0|정상|0
음란한 사진 그만 보내라고요|0|정상|0
갈보 소리 좀 그만해라 진짜|1|음란성발언|2
자꾸 성적 농담하는거 매너 없다|0|정상|0
보지털 운운하는거 진짜 역겹다|1|음란성발언|2
몸 얘기 그만하고 게임에 집중해|0|정상|0
계속 그런식으로 말하면 신고할거야|0|정상|0
성적인 발언 좀 그만하라고 몇번째냐|0|정상|0
개보쥐 소리 좀 그만해라 불쾌하다|1|음란성발언|3
가정교육을 어떻게 받았길래 그러냐|1|패드립|1
부모님이 그렇게 가르쳤어?|1|패드립|1
느금마 탑 좀 그만 던져라|1|패드립|2
니애미 게임 그따위로 하라고 가르쳤냐|1|패드립|2
니애비도 너처럼 못했겠지|1|패드립|2
느그 가족들 다 게임 저따구로 하냐|1|패드립|3
애미 애비 다 그모양이라 니가 그모양이지|1|패드립|3
니 가족 전체가 정신머리가 그모양인가봐|1|패드립|3
느그 죽은 할매도 이거보다는 잘하겠다|1|패드립|4
돌아가신 분까지 들먹이면서 조롱하는거 실화냐|0|정상|0
집안 내력이 그런가보네 다들 그모양|1|패드립|2
니네 엄마도 너 게임하는거 아셔?|1|패드립|1
에미창 소리 나올정도로 못하네|1|패드립|2
니에미 진짜 게임 가르친거 맞아?|1|패드립|2
너에미 나와서 이 판좀 대신해라|1|패드립|2
가족 전체가 게임에 재능이 없나보다|1|패드립|1
느그 애비 애미 욕까지 나오게 하네|1|패드립|2
집안 대대로 이 모양이었나보다 진짜|1|패드립|2
돌아가신 할머니까지 들먹이는건 선 넘었다|0|정상|0
가족 전체를 대상으로 지속적으로 조롱하는거 문제있다|0|정상|0
아 진짜 열받네 확 다 갈아버릴까|1|폭력성|1
진짜 다 부숴버리고 싶다 열받아서|1|폭력성|1
현피 뜨자 진짜|1|폭력성|2
너 아이디 따서 신상 털어버린다|1|폭력성|3
계속 이러면 가만 안둔다 각오해|1|폭력성|1
칼로 찔러버리고 싶다 진짜|1|폭력성|3
너희 집 앞에서 기다린다 각오해|1|폭력성|3
죽여버릴 거야 진짜 두고봐|1|폭력성|3
니네 집 주소 알아내서 찾아간다|1|폭력성|4
진짜 찾아가서 끝장을 보겠다 각오해라|1|폭력성|2
진짜 화나서 뭐라도 부수고 싶다|1|폭력성|1
확 던져버리고 싶다 마우스를|1|폭력성|1
오프에서 보면 가만 안둔다|1|폭력성|1
너 어디 사는지 알아낼 방법 있어|1|폭력성|2
진짜 손 좀 봐줘야겠다 이자식|1|폭력성|1
계속 이러면 진짜 큰일난다 각오해|1|폭력성|1
신상 캐서 뿌려버릴까 고민중이다|1|폭력성|2
실제로 찾아가는 사람도 있더라 조심해|0|정상|0
진짜 몸으로 갚아야 정신차리려나|1|폭력성|3
이 정도면 협박죄 성립 아니냐|0|정상|0
